TEMA DE PETICION;
con oficio 568 del 13 de febrero de 2018 se remite  solicitud enviada a  la doctora YENNIFER EDILVA PARRA MOSCOSO Secretaria de Desarrollo Social del Municipio de IbaguÃ¨, por la senora MARIA ELSY MARTINEZ Y OTROS  y otros miembros de la veedur&i;
SOLICITUD DELEGADO ACOMPA&Ntilde;AMIENTO ASPIRANTES SERVICIO MILITAR;
mi peticion;
CON OFICIO 386 DEL 31 DE ENERO DE 2018 SE DA TRASLADO COPIA DERECHO DE PETICION SIGNADO POR LA SE&Ntilde;ORA DILMA Y. MORA C. Y OTROS, DIRIGIDO  A LA OFICINA DE PETICIONES, QUEJAS Y RECLAMOS DEL IBAL S.A. ESP OFICIAL.;
PETICI&Oacute;N RADICADO N. 2017-96687 DE 9 DE NO DE 2017 CESI&Oacute;N DE PROCEDIMIENTO. EN EL ENTENDIDO DE COLOCACI&Oacute;N DE CARPAS Y SILLAS, EN UN COMPORTAMIENTO ALUSIVO A LA OCUPACI&Oacute;N  DEL ESPACIO PUBLICO..;
RESPUESTA PETICION RAD: 2018-14049;
Traslado de Hallazgo Disciplinario No. 361  de 2017, producto de la auditoria regular adelantada en la Institucion Educativa Alberto Santofimio Caicedo, vigencia 2016.;
RESPUESTA OFICIO No. 2018-10-1375 DEL 23 DE MARZO DE 2018;
Radicado No. 00258-18 (0051);
Informe semanal de resoluciones expedidas por la oficina del Curador Urbano No. 2 de Ibague en el periodo del 9 AL 13 abril de 2018
;
Respuesta emitida por la Empresa de Acueducto  y Alcantarillado IBAL SA ESP OFICIAL, al radicado Personeria No 00149-18 (0038), contestado mediante acto administrativo No 552-02059 del 31 de Enero de 2018. Usuaria OLIVA VANEGAS Matricula 35764. Fun;
respuesta oficio N. 10525 procesos de seleccion abreviada N. 017 y 018 de 2015;
NO HEMOS RECIBIDO RESPUESTA  AL DERECHO DE PETICION ENVIADO AL GRUPO DE RENTAS POR EL MOTIVO DE COBRO COACTIVO  nUMERO RADICACION 2018-10-1135;
RESPUESTA OFICIO V.A.G.P. OF-20 DEL 25 DE ENERO DE 2018, SOLICITUD DOCUMENTOS EXP. DISCIP. 1565-2017;
RESPUESTA OFICIO  DEL 28/02/2018 , CUMPLIMIENTO DEL ACUERDO MUNICIPAL 017 DE 13/12/2017, RADICADO SAC2018PQR5986 DE 07/03/2018;
Solicitud acompanamiento registro Centro Especializado;
RESPUESTA RADICADO 2018-15776 DILIGENCIA 640-18 (150);
con oficio 506 del 8 de febrero de 2016, se da traslado de la copia del  Derecho de peticion dirigido a la Secretaria de Educacion Municipal de IbaguÃ¨, por parte de los senores FERMIN  RODRIGUEZ TAPIERO Y LUZ EDITH CARDONA BEDOYA, ;
REPUESTA RADICADO 2018-15774 DILIGENCIA 1-18 (148);
ddsdds;
Informe semanal de resoluciones expedidas por la oficina del Curador Urbano No. 2 de Ibague en el periodo del 26 de febrero al 02 de marzo de 2018;
RESPUESTA PETICION RAD 2018-14419;
CON OFICIO 500 DEL 8 DE FEBRERO DE 2018 DA TRASLADO DE COPIA DE DERECHO DE PETICI&Oacute;N  DIRIGIDO A SE&Ntilde;ORES IBAL S.A. , CALENDADO 28 DE DICIEMBRE DE 2017 POR EL SE&Ntilde;OR VALENTIN MARTINEZ DELGADO, QUIEN  SOLICITA LA EJECUCI&Oacute;N DE OBRAS;
TRASLADO DP N-33,34,35,36 Y 37 DE 2018;
ACTA DE ATENCI&Oacute;N DE LA SE&Ntilde;ORA MARIA OFIR SALAZAR HENAO ANTE EL SISBEN ;
El avaluo de mi casa ubicada en la IV etapa de Villacafe  manzana 20 casa 1 para efectos del impuesto predial, paso de $27.4 a $47.8 millones, es decir un incremento del 74.38% y el valor del impuesto paso de $279.000 a $527.000 es decir un super incremen;
RESPUESTA OFICIO V.A.G.P - 188 DE 2018 ,REF: RADICACI&Oacute;N 4065/2017, RADICADO SAC 2018PQR4178 DE 16/02/2018;
solicitud reunion uso escenarios deportivos ;
RESPUESTA OFICIO DE 05/02/2018- RADICACI&Oacute;N 2018-10-531 .V.A.G.P126 , RADICADO SAC2018PQR3980 ;
CONFORMIDAD PLAN DE MEJORAMIENTO;
RESPUESTA RADICADO 2018-14384;




Armenia, 13 de Febrero  de 2018


Doctora
Liliana Carolina Moreno Vargas.
	
Directora Grupo de Rentas
Alcaldia de Ibague


Asunto: DERECHO DE PETICION

Yo Julio German Ribon Betancourt con CC 18465732 de Quimbaya-Quindio, en ejerc;
OFICIO 862;
;
Informe semanal de resoluciones del 29 de enero al 02 febrero de 2018;
Traslado de Hallazgos Disciplinarios Auditoria Regular I.E Jose Celestino Mutis, 327, 328, 329, 330, 331, 332, 333 y 334;
RESPUESTA PETICION 2018-14282;
radicado 160-025-0761 asunto traslado solicitud marzo 2-2018;
;
Respuesta oficio de 7/02/2018 VA.GP - 118, radicado SAC2018PQR3371 DE 08/02/2018 CASO OLGA CAICEDO Y PAE;
;
Respuesta peticion 456-2018 acuerdo Deportes Tolima;
;
Oficio como respuesta oficio con radicado interno 2018-15780 del 14 de febrero - DILIGENCIA 557 -18 (151);
CON OFICIO 481 DEL 6 DE FEBRERO DE 2018 REMITE  LA PUBLICACI&Oacute;N DE PRENSA DEL NUEVO D&Iacute;A, DEL PASADO 21 DE NOVIEMBRE DE 2017, A FIN DE QUE SE INICIEN LAS ACCIONES DISCIPLINARIAS A QUE HUBIERE LUGAR.;
;
RESPUESTA OFICIO DE 09/04/2018 - RADICACI&Oacute;N 2018-10-1942 , RADICADO SAC2018PQR8809 DE 10/04/2018;
DERECHO PETICION ELEVADO ANTE LA SECRETARIA DE HACIENDA MUNICIPAL DE IBAGUE DR. JOSE VICENTE ESPINOZA REYES DE FECHA 05/02/2018 - RADICADO ENVIA GUIA 016008585992 Y RECIBIDO EN 06/02/2018;
;
Remision peticion 2018-10-436 Radicada por la senora Luz Helena Sanchez Oviedo;
RESPUESTA OFICIO V.G.A.P -341 DE 02/03/2018, REF: RADICADO 2018-10-50, RADICADO SAC2018PQR7055 DE 21/03/2018;
listado de resoluciones otorgadas en la fecha del 02 al 05 de enero del 2018;
Informe semanal de resoluciones expedidas por la oficina del Curador Urbano No. 2 de Ibague en el periodo del 20 al 23 de marzo de 2018
;
TRASLADO DE HALLAZGOS DISCIPLINARIOS AUDITORIA REGULAR CONCEJO MUNICIPAL DE IBAGUE;
Cordial saludo,

Me permito informar una situacion que se ha venido presentando en la Fundacion Imix que opera en Ibague, en donde la ;
Senores
PERSONER&Iacute;A MUNICIPAL
Calle 9 entre carrera  2 y 3   
Ciudad.

Asunto: Solicitud acompanamiento registro Centro Especializado

Reciba un cordial saludo por parte de los integrantes del Grupo de Proteccion a la Infancia y;
Solicitud Acompanamiento Registro Politecnico Luis A. Rengifo.;
RESPUESTA OFICIO DE 24/02/2018 -REF: RADICADO 2018-10-606, RADICADO SAC2018PQR4907 DE 26/02/2018;
Traslado de Hallazgo Disciplinario No. 360 de 2017, producto de la Auditoria Regular, adelantada en la Institucion Educativa Alberto Santofimio Caicedo, vigencia 2016.;
RESPUESTA OFICIO DE 29 DE DICIEMBRE DE 2017- RADICADO 2017-1732  Y RADICADO SAC2018PQR70 DE 03/01/2017 SOLICITUD DE SANDRA PATRICIA OSPINA;
solicitud de apoyo;
PRESCRIPCI&Oacute;N Y DEPURACI&Oacute;N DE VALORES;
ACTA DE ATENCI&Oacute;N DE LA SE&Ntilde;ORA MARLENE JIMENEZ GUTIERREZ SOLICITUD DE INTERVENCI&Oacute;N ANTE LA SECRETARIA DE BIENESTAR SOCIAL PROGRAMA ADULTO MAYOR;
envio de correo electronico inspeccion sexta urbana de policia  inspeccionsextaurbana@gmail.com;
RESPUESTA OFICIO No 10284 DE 08-11-2017  INFORMACION SUNET;
HALLAZGOS DE LA DENUNCIA D-042-2017 A LA I.E. ESCUELA NORMAL SUPERIOR  HALLAZGOS DEL 280 AL 299 ;
Oficio como respuesta oficio con radicado interno 15780 del 14 de febrero - DILIGENCIA 557 -18 (151);
;
Respuesta Solicitud NÂ°. 1691 - Caso presunto Acoso laboral Jenny Katherine Silva Rey;
Informe semanal de resoluciones expedidas por la oficina del Curador Urbano No. 2 de Ibague en el periodo del 23 al 27 de abril de 2018;
;
;
RESPUESTA OFICIO DE 6/02/2018 V.A.G.P-92, RADICADO SAC2018PQR3725 DE 12/02/2018;
;
RESPUESTA OFICIO DE 05/02/2018 - RADICADO 2018-10-52 , RADICADO SAC2018PQR3887 DE 13/02/2018;
Traslado hallazgo Disciplinario No. 362, en virtud de la auditoria regular adelantada en la Institucion Educativa Alberto Santofimio Caicedo, vigencia 2016.;
Solicitud de intervencion ante la secretaria de bienestar social en el   programa de adulto mayor, a nombre de MARIA MIRIAN DUARTE DE RENGIFO;
;
RESPUESTA OFICIO DEL 12 DE DICIEMBRE DE 2017, RADICADO SAC2017PQR33417 DEL 21 DE DICIEMBRE DE 2017, LICENCIA FUNCIONAMIENTO DEL GIMNASIO PEDAGOGICO ONASIS;
;
;
;
Remision por competencia de radicado con E - 2017 - 851986 R.C.R. 6890;
comunicacion apertura de investigacion de yelitza Giraldo Barragan;
RESPUESTA INTERVENCION CON RADICACION INTERNA 2018-17801;
RESPUESTA OFICIO DE 6/04/2018 -DILIGENCIA 2018-10-1007, RADICADO SAC2018PQR9028 DE 12/04/2018;
Personeria Municipal de Ibague, Diligencia No. 00064-18(0011) Radicado IBAL No. 01017 del 18 de enero de 2018. ;
traslado de hallazgo disciplinario Â´producto de la denuncia No D048/2017. Institucion educativa Jose Celestino Mutis;
;
OFICIO No. 00258-18 (0051) ;
con oficio 502 del 8 de febrero de 2018 se da traslado de queja  interpuesta  por el senor ANTONIO TAVERA SUAREZ contra la Doctora YOLANDA ROJAS COMISARIA PRIMERA DE FAMILIA DE IBAGU&Eacute;.;
DILIGENCIA NÂº 00574-18 (0131) DE 9 DE FEBRERO DE 2018
INTERVENCI&Oacute;N HECHA POR LA SE&Ntilde;ORA MILLERLANDY ANDRADE URUE&Ntilde;A
RADICADO IBAL 3710 DE 16 DE FEBRERO DE 2018;
ACTA DE ATENCION DEL SE&Ntilde;OR JOSE JESUS CASTELLON MEDINA. SOLICITUD ANTE LA PERSONERIA DE BUCARAMANGA;
Respuesta a oficio de 27 de diciembre de 2017, radicacion 2017-10-2066 relacionado con peticion de LAMBERTO GARCIA, caso de ELSA TATIANA JIMENEZ;
Informe semanal de resoluciones expedidas por el curador urbano No. 2 de Ibague, del 9 al 12 enero de 2018;
FACTURACI&Oacute;N PARCIAL Y RESTABLECIMIENTO DEL SERVICIO;
Informe semanal de resoluciones expedidas por la oficina del Curador Urbano No. 2 de Ibague en el periodo del 26 al 28 de marzo de 2018
;
;
