Asunto;Radicado;Serie Documental;Sub-Serie documental;
SOLICITUD DE CERTIFICACION CONTRATUAL-PETICION DEL CONTRATISTA EDWIN ALEXANDER BARRIOS ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITUD DE INFORMACION EVALUACION DE RIESGO AL CIUDADANO JORGE ENRIQUE CHAVES PERDOMO-UNIDAD NACIONAL DE PROTECCION  ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
ACTA N. 11 COMITE SEGUIMIENTO ELECTORAL ELECCIONES 2022-ALCALDIA MUNICIPAL DE IBAGUE SECRETARIA DE GOBIERNO ;;SEGUIMIENTOS;SEGUIMIENTO A LA GESTION PUBLICA;
SOLICITUD URGENTE ALERTA DE RIESGO DE FEMINICIDIO: SOLICITUD DE INTERVENCI&OacuteN ANTE LAS COMISAR&IacuteAS DE FAMILIA DE IBAGU&Eacute INFORME DE RIESGO. RADICADO INTERNO PGN N? E- 2022-723527.-PROCURADURIA ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITUD DE ACOMPA&NtildeAMIENTO REUNION CON ENTE GESTOR DEL SETP PARA EL DIA 04 DE ENERO-YAMIL DIAZ PERDOMO ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
COPIA DE OFICIO A EL IBAL -COPIA DE DENUNCIAS POR LOS DIFERENTES ORGANISMOS DE CONTROL PROCESO 195 DE 2022 -VEEDURIA TOTAL 824 ;;PROCESOS;PROCESO DISCIPLINARIO;
COPIA DE OFICIO A FISCALIA-DENUNCIA P&UacuteBLICA PROCESOS DE INVITACI&OacuteN P&UacuteBLICA NO 093 DE 2022 Y 195 DE 2022-VEEDURIA TOTAL 824 ;;PROCESOS;PROCESO DISCIPLINARIO;
COPIA DE OFICIO A LA SECRETARIA DE SALUD DEL TOLIMA-APOYO SOLICITUD REUBICACI&OacuteN ADULTOS MAYORES DE PALERMO HUILA A IBAGUE EN CONDICIONES DE VULNERABILIDAD TOLIMA-ALCALDIA MUNICIPIO DE PALERMO ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
COPIA DE OFICIO A FISCAL 154 ESPECIALIZADO EN DERECHOS HUMANOS-SOLICITUD PARA ACTIVAR MECANISMO DE BUSQUEDA URGENTE DEL SE&NtildeOR JOSE ALIRIO PE&NtildeA JIMENEZ-PETICION DE EL HIJO EL SE&NtildeOR DARWIN GIANCARLO PE&NtildeA OSORIO ;;;;
COMUNICACION AUTO DE INICIO N.10359 DEL 29 DE DCIEMBRE DE 2022 EXP PAF:8937-CORTOLIMA ;;COMUNICACIONES;COMUNICACI&OacuteN EXTERNA;
FIJACION DE AVISOS PAF:8936-CORTOLIMA ;;COMUNICACIONES;COMUNICACI&OacuteN EXTERNA;
FIJACION DE AVISOS PAF:8928-CORTOLIMA ;;COMUNICACIONES;COMUNICACI&OacuteN EXTERNA;
COMUNICACION RESOLUCION EXP: F-3520-19 CORTOLIMA ;;COMUNICACIONES;COMUNICACI&OacuteN EXTERNA;
COMUNICACION AUTOS DE INICIO N.102-1 DEL 28 DE DICIEMBRE DE 2022 EXP:8932-CORTOLIMA ;;COMUNICACIONES;COMUNICACI&OacuteN EXTERNA;
SOLICITUD DE VIGILANCIA Y SEGUIMIENTO A LA ENTIDAD INFIBAGUE POR NEGLIGENCIA MOSTRADA EN LAS RESOLUCION DE SITUACIONES PRESENTADAS ENLA VEREDA ALTO COMBEIMA-PETICION DEL SE&NtildeOR MANUEL ANTONIO ESCOBAR LOPEZ ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
COPIA DE OFICIO A SECRETARIA DE EDUCACION-SOLICITUD DE CERTIFICADO DE LA PLATAFORMA HUMANO EN LINEA DEL SE&NtildeOR YEY HERNANDEZ VARON -DEFENSORIA DEL PUEBLO ;;SEGUIMIENTOS;SEGUIMIENTO A LA GESTION PUBLICA;
COPIA DE OFICIO A SECRETARIA DE EDUCACION SOLICITUD EXPEDICI&OacuteN CERTIFICADOS HUMANO EN L&IacuteNEA - COMO DOCENTE SOLICITANTE:  LUCIA DEL PILAR CHAVEZ PI&NtildeA ;;SEGUIMIENTOS;SEGUIMIENTO A LA GESTION PUBLICA;
APERTURA INSCRIPCI&OacuteN PARA ELECCI&OacuteN DE MESAS MUNICIPALES DE PARTICIPACI&OacuteN EFECTIVA DE V&IacuteCTIMAS ( MEPV) 2023-2027-DEFENSORIA DEL PUEBLO ;;COMUNICACIONES;COMUNICACI&OacuteN INTERNA;
RESPUESTA A RADICADO 90802 DEL 26 DE DICIEMBRE DE 2022-PETICION REMITIDA A INSPECCION NOVENA-SECRETARIA DE GOBIERNO ;;RESPUESTAS A SOLICITUDES;RESPUESTAS A SOLICITUDES;
COPIA DE OFICIO A JUEZ 12 PENAL MUNICIPAL -INCIDENTE DE DESACATO RAD:2022-0152 DEMANDANTE:ALVARO IVAN DIAZ TOBON DEMANDADO: FAMISANAR EPS-PETICION DEL SE&NtildeOR ALVARO IVAN DIAZ TOBON ;;TUTELAS;TUTELAS;
SOLICITUD DE INTERVENCION ANTE COIBA PICALE&NtildeA-INTERVENCION HUMANITARIA INMEDIATA ANTE CIERRE ARBITRARIO DE CELDAS Y PASILLOS-PETICION DE PPL NOE DE JESUS GUAJE PINTO ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITUD DE CERTIFICACION CONTRACTUAL-PETICION DE LA SE&NtildeORA LINA KATHERINE MEDINA CALDER&OacuteN ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
TRAMITE POR COMPETENCIA Informando Novedades C&aacutercel Coiba PICALE&NtildeA-CASO DEL PPL JOSE NOE GUAJE PINTO-POLICIA NACIONAL ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
